t,terminal,bus,passengers
0,CEI,1,0
0,CEI,2,1
0,T2,3,2
0,T2,4,0
0,CEI,5,0
0,CEI,6,0
30,T2,1,20
30,T2,2,20
30,CEI,3,20
30,CEI,4,20
30,T2,5,20
60,CEI,1,20
60,CEI,2,17
60,T2,3,19
60,T2,4,20
60,CEI,5,11
60,T2,6,20
90,T2,1,18
90,T2,2,20
90,CEI,3,16
90,CEI,4,19
90,T2,5,9
90,CEI,6,19
120,CEI,1,20
120,CEI,2,20
120,T2,3,20
120,T2,4,20
120,CEI,5,20
120,T2,6,20
150,T2,1,19
150,T2,2,17
150,CEI,3,17
150,CEI,4,18
150,T2,5,19
150,CEI,6,18
180,CEI,1,15
180,CEI,2,18
180,T2,3,17
180,T2,4,17
180,CEI,5,18
180,T2,6,13
210,T2,1,16
210,T2,2,20
210,CEI,3,17
210,CEI,4,16
210,T2,5,19
210,CEI,6,18
240,CEI,1,10
240,CEI,2,12
240,T2,3,19
240,T2,4,20
240,CEI,5,16
240,T2,6,20
270,T2,1,15
270,T2,2,16
270,CEI,3,20
270,CEI,4,18
270,T2,5,19
270,CEI,6,8
300,CEI,1,19
300,CEI,2,12
300,T2,3,19
300,T2,4,15
300,CEI,5,18
300,T2,6,19
330,T2,1,18
330,T2,2,16
330,CEI,3,20
330,CEI,4,20
330,T2,5,18
330,CEI,6,20
360,CEI,1,20
360,CEI,2,14
360,T2,3,16
360,T2,4,14
360,CEI,5,19
360,T2,6,17
390,T2,1,19
390,T2,2,20
390,CEI,3,20
390,CEI,4,19
390,T2,5,20
390,CEI,6,16
420,CEI,1,17
420,CEI,2,17
420,T2,3,15
420,T2,4,18
420,CEI,5,17
420,T2,6,14
450,T2,1,17
450,T2,2,13
450,CEI,3,17
450,CEI,4,18
450,T2,5,18
450,CEI,6,18
480,CEI,1,16
480,CEI,2,19
480,T2,3,17
480,T2,4,18
480,CEI,5,17
480,T2,6,9
510,T2,1,19
510,T2,2,14
510,CEI,3,14
510,CEI,4,17
510,T2,5,16
510,CEI,6,16
540,CEI,1,20
540,T2,3,20
540,T2,4,20
540,CEI,5,20
540,T2,6,20
570,T2,1,15
570,CEI,2,20
570,CEI,3,17
570,CEI,4,19
570,T2,5,20
600,CEI,1,9
600,T2,2,15
600,T2,3,13
600,T2,4,13
600,CEI,5,19
600,CEI,6,19
630,T2,1,20
630,CEI,2,20
630,CEI,3,20
630,CEI,4,20
630,T2,5,18
630,T2,6,12
660,T2,2,11
660,T2,3,20
660,T2,4,20
660,CEI,5,19
660,CEI,6,20
690,CEI,2,16
690,CEI,3,14
690,CEI,4,12
690,T2,5,20
690,T2,6,20
720,CEI,1,20
720,T2,2,20
720,T2,3,20
720,T2,4,20
720,CEI,5,20
720,CEI,6,20
750,T2,1,20
750,CEI,2,18
750,CEI,3,14
750,CEI,4,18
750,T2,5,20
750,T2,6,20
780,CEI,1,20
780,T2,2,20
780,T2,3,20
780,T2,4,20
780,CEI,5,18
780,CEI,6,20
810,T2,1,5
810,CEI,2,0
810,CEI,3,0
810,T2,5,1
810,T2,6,2
840,CEI,1,0
840,CEI,4,0
840,CEI,6,0
